Timestamp,Scan#,SSID,BSSID,Signal_Level_dBm,Primary_Channel,Primary_Frequency_MHz,Center_Channel,Center_Frequency_MHz,Channel_Width_MHz,Freq_Start_MHz,Freq_End_MHz,Distance,Is_80211mc,Security,WiFi_Standard,Fast_Roaming
2026-04-30 19:12:38,1,eduroam,00:df:1d:6a:9c:22,-81,1,2412,1,2412,20,2402,2422,~110.9m,false,[WPA2-EAP/SHA1-CCMP-128][RSN-EAP/SHA1-CCMP-128][WPA-EAP/SHA1-CCMP-128][ESS],N,
2026-04-30 19:12:38,1,FACULTY-STAFF-N,00:df:1d:6a:9c:23,-81,1,2412,1,2412,20,2402,2422,~110.9m,false,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS],N,
2026-04-30 19:12:38,1,LAPTOP-S,00:df:1d:6a:9c:24,-81,1,2412,1,2412,20,2402,2422,~110.9m,false,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][WPA-PSK-CCMP-128][ESS],N,
2026-04-30 19:12:38,1,MOBILE-S,00:df:1d:6a:9c:25,-81,1,2412,1,2412,20,2402,2422,~110.9m,false,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS],N,
2026-04-30 19:12:38,1,MOBILE-S,00:df:1d:6a:9c:2a,-72,161,5805,155,5775,80,5735,5815,~16.4m,false,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS],AC,
2026-04-30 19:12:38,1,LAPTOP-S,00:df:1d:6a:9c:2b,-69,161,5805,155,5775,80,5735,5815,~11.6m,false,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][WPA-PSK-CCMP-128][ESS],AC,
2026-04-30 19:12:38,1,FACULTY-STAFF-N,00:df:1d:6a:9c:2c,-69,161,5805,155,5775,80,5735,5815,~11.6m,false,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS],AC,
2026-04-30 19:12:38,1,eduroam,00:df:1d:6a:9c:2d,-69,161,5805,155,5775,80,5735,5815,~11.6m,false,[WPA2-EAP/SHA1-CCMP-128][RSN-EAP/SHA1-CCMP-128][WPA-EAP/SHA1-CCMP-128][ESS],AC,
2026-04-30 19:12:38,1,SENSOR,00:df:1d:6a:9c:2e,-68,161,5805,155,5775,80,5735,5815,~10.3m,false,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][WPA-PSK-CCMP-128][ESS],AC,
2026-04-30 19:12:38,1,GUEST-N,00:df:1d:6a:9c:2f,-70,161,5805,155,5775,80,5735,5815,~13.0m,false,[WPA2-PSK+FT/PSK-CCMP-128][RSN-PSK+FT/PSK-CCMP-128][ESS],AC,FR_802_11R
2026-04-30 19:12:38,1,eduroam,1c:d1:e0:ad:63:22,-79,1,2412,1,2412,20,2402,2422,~88.1m,false,[WPA2-EAP/SHA1-CCMP-128][RSN-EAP/SHA1-CCMP-128][WPA-EAP/SHA1-CCMP-128][ESS],N,
2026-04-30 19:12:38,1,FACULTY-STAFF-N,1c:d1:e0:ad:63:23,-79,1,2412,1,2412,20,2402,2422,~88.1m,false,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS],N,
2026-04-30 19:12:38,1,LAPTOP-S,1c:d1:e0:ad:63:24,-79,1,2412,1,2412,20,2402,2422,~88.1m,false,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][WPA-PSK-CCMP-128][ESS],N,
2026-04-30 19:12:38,1,MOBILE-S,1c:d1:e0:ad:63:25,-79,1,2412,1,2412,20,2402,2422,~88.1m,false,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS],N,
2026-04-30 19:12:38,1,GUEST-N,24:36:da:9d:3c:c0,-64,11,2462,11,2462,20,2452,2472,~15.4m,false,[WPA2-PSK+FT/PSK-CCMP-128][RSN-PSK+FT/PSK-CCMP-128][ESS],N,FR_802_11R
2026-04-30 19:12:38,1,SENSOR,24:36:da:9d:3c:c1,-64,11,2462,11,2462,20,2452,2472,~15.4m,false,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][WPA-PSK-CCMP-128][ESS],N,
2026-04-30 19:12:38,1,eduroam,24:36:da:9d:3c:c2,-64,11,2462,11,2462,20,2452,2472,~15.4m,false,[WPA2-EAP/SHA1-CCMP-128][RSN-EAP/SHA1-CCMP-128][WPA-EAP/SHA1-CCMP-128][ESS],N,
2026-04-30 19:12:38,1,FACULTY-STAFF-N,24:36:da:9d:3c:c3,-64,11,2462,11,2462,20,2452,2472,~15.4m,false,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS],N,
2026-04-30 19:12:38,1,LAPTOP-S,24:36:da:9d:3c:c4,-64,11,2462,11,2462,20,2452,2472,~15.4m,false,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][WPA-PSK-CCMP-128][ESS],N,
2026-04-30 19:12:38,1,MOBILE-S,24:36:da:9d:3c:c5,-64,11,2462,11,2462,20,2452,2472,~15.4m,false,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS],N,
2026-04-30 19:12:38,1,GUEST-N,40:01:7a:53:96:80,-62,11,2462,11,2462,20,2452,2472,~12.2m,false,[WPA2-PSK+FT/PSK-CCMP-128][RSN-PSK+FT/PSK-CCMP-128][WPA-PSK-CCMP-128][ESS],N,FR_802_11R
2026-04-30 19:12:38,1,SENSOR,40:01:7a:53:96:81,-61,11,2462,11,2462,20,2452,2472,~10.9m,false,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][WPA-PSK-CCMP-128][ESS],N,
